startdate,enddate,status,progress,durationinseconds,finished,recordeddate,responseid,externalreference,distributionchannel,userlanguage,prolific_pid,empstat
2023-02-05 19:48:38,2023-02-05 19:48:42,0,100,4,1,2023-02-05 19:48:42,R_1K0CGi9JCea1x4p,*******,anonymous,EN,011a99143c5e6b94624cd1848bcbff4cca4a7e422480028940af3a4c4523249d,1
2023-02-06 23:44:37,2023-02-06 23:44:50,0,100,12,1,2023-02-06 23:44:50,R_2dollERFQVA2fmA,*******,anonymous,EN,39ee9ae598d1dfdb8ea392fc2cc841c3dc773aa7da7e5ee55627234ca74a3e6c,1
2023-02-05 14:43:13,2023-02-05 14:43:24,0,100,11,1,2023-02-05 14:43:24,R_74nUPi1pPIRQDeh,*******,anonymous,EN,e4341ba03207817cdca33c3d9e2ee2a8408af0b74172b096bfc7d5878f1e56eb,1
2023-02-05 15:11:10,2023-02-05 15:11:20,0,100,9,1,2023-02-05 15:11:20,R_1dblOkTzmlAnZ30,*******,anonymous,EN,3b671d59cbfa129c1f3b106adc8b85ae8f6fbf9e742f68f0410afbc51ff20592,1
2023-02-05 17:55:05,2023-02-05 17:55:15,0,100,9,1,2023-02-05 17:55:16,R_3RycHczWwRZhK5h,*******,anonymous,EN,826e626930aa5fe0ae5ff5bbcadb969f466e18cc61da700e20c319bf2fee1426,2
2023-02-05 21:43:47,2023-02-05 21:43:56,0,100,8,1,2023-02-05 21:43:56,R_1Q0Fktny9sJK0LB,*******,anonymous,EN,baafd4e7b4a72b464d2dd4e6e4d2e42cec9f3b3f9dfd93f9ff6a08b557097407,3
2023-02-05 14:42:49,2023-02-05 14:42:57,0,100,7,1,2023-02-05 14:42:58,R_2QrN1JGbtRbSqzN,*******,anonymous,EN,fdf20029ba3cb9fdd6391c4914b690fd63f58de6e71000002fcc2a6d76c44ab7,1
2023-02-12 06:32:24,2023-02-12 06:32:30,0,100,6,1,2023-02-12 06:32:31,R_3JmhgATZcdr0oFb,*******,anonymous,EN,ee7c07768f61852b1e6aa3850487ea901d42ec05de647f8092745730495acbb4,1
2023-02-05 16:03:43,2023-02-05 16:03:48,0,100,5,1,2023-02-05 16:03:48,R_3eeHmJ4p3JaXc2f,*******,anonymous,EN,240d50d7dfbf08915c597173c61c1b7a6616d4c021248707b5ae80e02aa425fe,1
2023-02-10 15:29:48,2023-02-10 15:30:07,0,100,19,1,2023-02-10 15:30:08,R_2s7Mk7ouA6rVOWT,*******,anonymous,EN,7dd84051685ca8f70b301bd03c8dc2d40c6acfcb326fe3440597876df5dce587,1
2023-02-06 10:28:32,2023-02-06 10:28:43,0,100,11,1,2023-02-06 10:28:43,R_31XIiP6YXRnjZL6,*******,anonymous,EN,86efe22d888009440e972da404b74c4292c7ec61c45be8d3b106f01e4a603eb6,1
2023-02-05 14:45:45,2023-02-05 14:45:53,0,100,7,1,2023-02-05 14:45:53,R_2eR9Unh4PiLrMTm,*******,anonymous,EN,d79bab71bec056a2c0ffccdc2c82cfd7090eb0a6cb58e055bbdd89d5a327b35c,1
2023-02-06 02:21:43,2023-02-06 02:21:50,0,100,6,1,2023-02-06 02:21:50,R_1Q4z6P9N9sgFraF,*******,anonymous,EN,6d97fcb80f923110517024be9db307c8072de37a108ec3ac8ac0e23a543098be,1
2023-02-05 15:34:19,2023-02-05 15:34:23,0,100,3,1,2023-02-05 15:34:23,R_XBXwquWoy2p1uSJ,*******,anonymous,EN,0cd5b9e0910dc72d934d6584d81ad7ba7be1b38c5f049bc422dc493a6a7aecc0,1
2023-02-05 14:49:07,2023-02-05 14:49:15,0,100,8,1,2023-02-05 14:49:15,R_POqNvnRYautsCKl,*******,anonymous,EN,89fc1f086008b8b7509e1998c47da2d704d4755edfeda7ed8e7cbaeba328462b,1
